"regnames","temperature","relative_risk"
"York&Hum",-4.4,2.33282001525022
"York&Hum",-4.3,2.2892325876624
"York&Hum",-4.2,2.24702758277298
"York&Hum",-4.1,2.20615836752137
"York&Hum",-4,2.16658016683128
"York&Hum",-3.9,2.12824998493944
"York&Hum",-3.8,2.09112653037505
"York&Hum",-3.7,2.05517014441152
"York&Hum",-3.6,2.02034273282136
"York&Hum",-3.5,1.98660770077427
"York&Hum",-3.4,1.95392989072605
"York&Hum",-3.3,1.92227552315453
"York&Hum",-3.2,1.8916121400056
"York&Hum",-3.1,1.86190855071978
"York&Hum",-3,1.83313478071619
"York&Hum",-2.9,1.80526202221724
"York&Hum",-2.8,1.77826258730321
"York&Hum",-2.7,1.75210986309167
"York&Hum",-2.6,1.72677826894174
"York&Hum",-2.5,1.70224321558872
"York&Hum",-2.4,1.6784810661189
"York&Hum",-2.3,1.65546909869932
"York&Hum",-2.2,1.63318547098133
"York&Hum",-2.1,1.61160918610098
"York&Hum",-2,1.59072006020302
"York&Hum",-1.9,1.57049869141922
"York&Hum",-1.8,1.55092643023485
"York&Hum",-1.7,1.53198535118084
"York&Hum",-1.6,1.51365822579185
"York&Hum",-1.5,1.49592849677402
"York&Hum",-1.4,1.47878025332831
"York&Hum",-1.3,1.46219820757869
"York&Hum",-1.2,1.4461676720565
"York&Hum",-1.1,1.43067453819491
"York&Hum",-1,1.4157052557899
"York&Hum",-0.9,1.40124681338582
"York&Hum",-0.8,1.38728671954641
"York&Hum",-0.7,1.37381298497342
"York&Hum",-0.6,1.36081410543739
"York&Hum",-0.5,1.34827904548668
"York&Hum",-0.4,1.33619722290243
"York&Hum",-0.3,1.32455849386927
"York&Hum",-0.2,1.31335313883233
"York&Hum",-0.100000000000001,1.30257184901348
"York&Hum",0,1.2922057135604
"York&Hum",0.0999999999999996,1.28224620730376
"York&Hum",0.2,1.27268517909911
"York&Hum",0.3,1.26351484073117
"York&Hum",0.4,1.25472775635928
"York&Hum",0.5,1.24631683248431
"York&Hum",0.6,1.23827530841775
"York&Hum",0.7,1.23059674723537
"York&Hum",0.8,1.22327502719834
"York&Hum",0.9,1.21630433362596
"York&Hum",1,1.20967915120474
"York&Hum",1.1,1.20339425671972
"York&Hum",1.2,1.19744471219463
"York&Hum",1.3,1.19182585842822
